datetime_local,water_temp_degC,do_mgL,batt_volt
2019-10-09 20:38:00,22.15,10.33,3.20
2019-10-09 20:39:00,22.16,10.34,3.20
2019-10-09 20:40:00,22.14,10.32,3.20
2019-10-09 20:41:00,22.16,10.34,3.20
2019-10-09 20:42:00,22.16,10.31,3.20
2019-10-09 20:43:00,22.14,10.34,3.20
2019-10-09 20:44:00,22.15,10.34,3.20
2019-10-09 20:45:00,22.11,10.37,3.20
2019-10-09 20:46:00,22.16,10.34,3.20
2019-10-09 20:47:00,22.15,10.32,3.20
2019-10-09 20:48:00,22.18,10.27,3.20
2019-10-09 20:49:00,22.13,10.34,3.20
2019-10-09 20:50:00,22.12,10.31,3.20
2019-10-09 20:51:00,22.16,10.28,3.20
2019-10-09 20:52:00,22.09,10.31,3.20
2019-10-09 20:53:00,22.14,10.30,3.20
2019-10-09 20:54:00,22.14,10.30,3.20
2019-10-09 20:55:00,22.14,10.29,3.20
2019-10-09 20:56:00,22.10,10.29,3.20
2019-10-09 20:57:00,22.08,10.30,3.20
2019-10-09 20:58:00,22.08,10.31,3.20
2019-10-09 20:59:00,22.13,10.28,3.20
2019-10-09 21:00:00,22.08,10.31,3.20
2019-10-09 21:01:00,22.09,10.28,3.20
2019-10-09 21:02:00,22.08,10.30,3.20
2019-10-09 21:03:00,22.13,10.25,3.20
2019-10-09 21:04:00,22.10,10.25,3.20
2019-10-09 21:05:00,22.07,10.27,3.20
2019-10-09 21:06:00,22.10,10.26,3.20
2019-10-09 21:07:00,22.08,10.26,3.20
2019-10-09 21:08:00,22.08,10.27,3.20
2019-10-09 21:09:00,22.07,10.27,3.20
2019-10-09 21:10:00,22.03,10.28,3.20
2019-10-09 21:11:00,22.08,10.23,3.20
2019-10-09 21:12:00,22.08,10.23,3.20
2019-10-09 21:13:00,22.14,10.21,3.20
2019-10-09 21:14:00,22.06,10.25,3.20
2019-10-09 21:15:00,22.06,10.23,3.20
2019-10-09 21:16:00,22.05,10.23,3.20
2019-10-09 21:17:00,22.05,10.23,3.20
2019-10-09 21:18:00,22.05,10.22,3.20
2019-10-09 21:19:00,22.08,10.19,3.20
2019-10-09 21:20:00,22.08,10.20,3.20
2019-10-09 21:21:00,22.06,10.20,3.20
2019-10-09 21:22:00,22.06,10.20,3.20
2019-10-09 21:23:00,22.05,10.21,3.20
2019-10-09 21:24:00,22.05,10.21,3.20
2019-10-09 21:25:00,22.01,10.23,3.20
2019-10-09 21:26:00,22.05,10.22,3.20
2019-10-09 21:27:00,22.06,10.21,3.20
2019-10-09 21:28:00,22.03,10.21,3.20
2019-10-09 21:29:00,22.03,10.21,3.20
2019-10-09 21:30:00,22.04,10.21,3.20
2019-10-09 21:31:00,22.03,10.18,3.20
2019-10-09 21:32:00,22.02,10.20,3.20
2019-10-09 21:33:00,22.03,10.20,3.20
2019-10-09 21:34:00,22.02,10.20,3.20
2019-10-09 21:35:00,22.03,10.21,3.20
2019-10-09 21:36:00,22.01,10.23,3.20
2019-10-09 21:37:00,22.01,10.21,3.20
2019-10-09 21:38:00,21.98,10.22,3.20
2019-10-09 21:39:00,21.99,10.17,3.20
2019-10-09 21:40:00,22.00,10.15,3.20
2019-10-09 21:41:00,22.04,10.15,3.20
2019-10-09 21:42:00,22.01,10.16,3.20
2019-10-09 21:43:00,21.97,10.19,3.20
2019-10-09 21:44:00,22.01,10.18,3.20
2019-10-09 21:45:00,22.04,10.17,3.20
2019-10-09 21:46:00,22.02,10.19,3.20
2019-10-09 21:47:00,21.96,10.21,3.20
2019-10-09 21:48:00,22.02,10.20,3.20
2019-10-09 21:49:00,22.03,10.19,3.20
2019-10-09 21:50:00,21.94,10.21,3.20
2019-10-09 21:51:00,21.97,10.19,3.20
2019-10-09 21:52:00,22.03,10.18,3.20
2019-10-09 21:53:00,21.97,10.18,3.20
2019-10-09 21:54:00,21.98,10.19,3.20
2019-10-09 21:55:00,21.96,10.18,3.20
2019-10-09 21:56:00,21.97,10.17,3.20
2019-10-09 21:57:00,21.96,10.16,3.20
2019-10-09 21:58:00,21.98,10.15,3.20
2019-10-09 21:59:00,21.95,10.17,3.20
2019-10-09 22:00:00,21.97,10.16,3.20
